route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,network_id
0,RTD,0,Broadway,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,15,standard_fare_network
0B,RTD,0B,South Broadway,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,16,standard_fare_network
0L,RTD,0L,South Broadway Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,20,standard_fare_network
1,RTD,1,West 1st Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,30,standard_fare_network
10,RTD,10,East 12th Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,170,standard_fare_network
100,RTD,100,Kipling Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1220,standard_fare_network
101,RTD,101,Light Rail,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,3,standard_fare_network
102,RTD,102,Light Rail Loop Extra,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,4,standard_fare_network
103,RTD,103,Light Rail West Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,8,standard_fare_network
104L,RTD,104L,Wagon Road / Denver Airport Limited,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1253,standard_fare_network
105,RTD,105,Havana Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1260,standard_fare_network
107,RTD,107,Light Rail R Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,7,standard_fare_network
11,RTD,11,Mississippi Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,180,standard_fare_network
112,RTD,112,West 112th Avenue,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1280,standard_fare_network
113,RTD,113,Commuter Rail B- and G-Line,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,2,standard_fare_network
116X,RTD,116X,South Simms Express,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1290,standard_fare_network
117,RTD,117,Commuter Rail N-Line,,0,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,6,standard_fare_network
12,RTD,12,South Downing,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,200,standard_fare_network
120,RTD,120,120th Avenue Crosstown,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1310,standard_fare_network
120L,RTD,120L,Thornton / Brighton,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1315,standard_fare_network
120X,RTD,120X,Wagon Road / Thornton Express,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1320,standard_fare_network
121,RTD,121,Peoria Street,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1330,standard_fare_network
130,RTD,130,Yale / Buckley,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1370,standard_fare_network
133,RTD,133,Hampden/Tower,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1390,standard_fare_network
135,RTD,135,Smoky Hill Road,,3,http://www.rtd-denver.com/Schedules.shtml,,FFFFFF,1400,standard_fare_network
